Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.7395833333333334,0.6301369863013698,0.6666666666666666,0.647887323943662
ANN,0.71875,0.6190476190476191,0.5652173913043478,0.5909090909090909
